"Control code","Control name","Control description","Control question","Control activities","Control owners","Control approvers","Required approvals stage","Is ready","Scope","NIST SP 800-53"
"DCF-134","3rd Parties and Vendors Given Instructions on Breach Reporting","Montage Marketing Group provides vendors and third parties with information on how to report breaches to Montage Marketing Group.","Does the organization provide vendors with information on how to report breaches?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","IR-08-01, IR-06-03"
"DCF-489","3rd Party Remote-Access Usage","Montage Marketing Group has included activation of remote-access technologies for vendors and business partners only when needed by vendors and business partners, with immediate deactivation after use in critical technologies usage policy.","Activation of remote-access technologies for vendors and business partners only when needed by vendors and business partners, with immediate deactivation after use included in critical technologies usage policy?",,"Jon Brown","Jon Brown","Approved","Ready","In scope","AC-17-00"
"DCF-37","Acceptable Use Policy","Montage Marketing Group has policies and procedures in place to establish acceptable use of information assets approved by management, posted on the company wiki, and accessible to all employees. All employees must acknowledge the Acceptable Use Policy upon hire.","Does the organization define acceptable and unacceptable rules of behavior for the use of technologies, including consequences for unacceptable behavior?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","AC-02-00, AC-19-00, AC-22-00, SC-18-00, AT-02-00, AT-03-00, PS-06-00, AT-02-02, CM-10-00, CM-11-00, PS-03-00, PS-08-00, PL-04-00, PL-04-01"
"DCF-622","Access Control for Output Devices","Montage Marketing Group manages the physical access control for output devices.","Does the organization have a process to control physical access to output devices?","1. Define the output devices that require physical access control.
2. Implement controls for physical access to output devices.","Jon Brown",,"No approvals assigned","Not ready","In scope","PE-05-00"
"DCF-329","Access Control System in Place","For all system components, access is managed via an access control system that restricts access based on a user’s need to know such as role-based access control (RBAC) or attribute-based access control (ABAC). The access control system(s) is configured to enforce permissions assigned to individuals, applications, and systems based on job classification and function and is set to “deny all” by default.",,,"Jon Brown",,"No approvals assigned","Ready","In scope","AC-05-00"
"DCF-69","Access Provisioning","Access requests to information resources, including physical access and access to systems and data, are documented and approved by management based on least privilege, need to know, and segregation of duties principles.",,,"Jon Brown",,"No approvals assigned","Ready","In scope","AC-03-00, AC-05-00, AC-06-00, IA-02-01, IA-02-02, IA-02-08, IA-03-00, IA-04-00, IA-04-04, IA-05-00, IA-05-01, IA-05-02, IA-07-00, IA-12-00, IA-12-02, IA-12-05, CP-03-00, PM-10-00"
"DCF-337","Access to Accounts Used by Remote 3rd Parties Monitored","Montage Marketing Group ensures that accounts used by third parties to access, support, or maintain system components via remote access are monitored when in use.","Are vendor remote access accounts monitored when in use?",,"Jon Brown","Jon Brown","Needs approval","Not ready","In scope","AC-17-01"
"DCF-582","Accounts Unlocked by Admin","Montage Marketing Group only allows locked accounts to be unlocked by an administrator.","Are accounts unlocked only by administrators?","Only allow administrators to unlock accounts.","Jon Brown",,"No approvals assigned","Ready","In scope","AC-07-00"
"DCF-116","Acknowledge The Privacy Policy","Montage Marketing Group's users are required to explicitly acknowledge the notice of privacy practices prior to entering information into the application.","Does the organization require users to acknowledge its privacy practices prior to entering information into the application?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","AC-03-14, SI-12-01, SI-12-02"
"DCF-454","Actions Against Unauthorized Wireless Access Points","Montage Marketing Group executes an incident response process in the event unauthorized wireless access points are detected in accordance with the company's documented policies and procedures.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","AC-17-03"
"DCF-189","Activity Review","Montage Marketing Group performs a review of information system activities on regular intervals","Does the organization perform a review of information system activities on regular intervals?","1. Regularly review audit logs
2. Regularly review security incident tracking reports
3. Regularly review access reports","Jon Brown",,"No approvals assigned","Not ready","In scope","AC-06-09, AU-06-00, AU-06-01, SI-04-00, PM-14-00"
